Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Cycling,2022-11-09 14:09:06,false,"Indoor Cycling","0.00","72","00:15:01","98","123","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","15:01.49.2","1","0.0","00:00:00","00:15:02","--","--"
Running,2022-11-06 07:17:05,false,"York Running","20.01","1,261","01:44:44","159","182","4.8","180","188","5:14","4:08","107","115","1.06","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:03.59.1","21","0.0","01:44:33","01:45:18","7","46"
Running,2022-11-04 17:05:40,false,"York Running","1.50","103","00:07:56.7","169","184","2.3","168","186","5:17","3:52","9","9","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:33.72.2","2","0.0","00:07:35","00:08:08.7","12","25"
Running,2022-11-04 16:58:55,false,"York - 5 x 400","1.41","76","00:06:21.8","160","180","1.9","170","198","4:32","3:11","2","--","1.27","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:06.23.9","6","0.0","00:06:20.3","00:06:21.8","7","14"
Running,2022-11-04 16:43:32,false,"York Running","3.04","149","00:12:15","140","164","2.6","175","194","4:02","3:27","6","17","1.42","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:08.85.7","4","0.0","00:12:11","00:13:49","11","25"
Running,2022-11-03 16:34:25,false,"York Running","8.74","541","00:45:04","145","164","3.7","172","184","5:09","3:49","48","49","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","03:50.41.9","9","0.0","00:44:56","00:45:19","7","25"
Running,2022-11-01 06:58:26,false,"York Running","1.01","67","00:05:15.1","168","176","1.8","176","184","5:13","5:02","10","4","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.68.5","2","0.0","00:05:14.7","00:05:15.1","12","25"
Running,2022-11-01 06:23:56,false,"York - 1.5km - 2 x 1km - 1.5km","7.02","420","00:32:51","166","192","3.6","176","234","4:41","3:29","25","33","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:05.96.4","11","0.0","00:32:47","00:33:46","5","25"
Running,2022-10-31 16:51:32,false,"York Running","8.01","501","00:41:50","157","192","3.5","169","229","5:13","3:55","35","37","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:04.00.2","9","0.0","00:41:24","00:43:27","5","25"
Indoor Cycling,2022-10-31 12:43:14,false,"Indoor Cycling","0.00","60","00:15:07","93","116","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","15:06.98.9","1","0.0","00:00:00","00:15:07","--","--"
Running,2022-10-30 06:48:58,false,"York Running","18.01","1,145","01:32:03","169","184","4.8","175","184","5:07","4:09","104","110","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.09.8","19","0.0","01:31:32","01:32:45","5","43"
Running,2022-10-28 18:37:17,false,"York Running","6.18","367","00:30:03","136","176","3.4","170","182","4:52","4:02","30","32","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:51.80.3","7","0.0","00:29:52","00:30:14","10","26"
Running,2022-10-27 06:53:43,false,"York Running","1.52","96","00:07:36.5","168","184","2.2","178","217","5:00","3:10","17","14","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:16.67.3","2","0.0","00:07:24.7","00:07:36.5","12","25"
Running,2022-10-27 06:40:21,false,"York - 2x1k (500)","2.84","155","00:12:54","141","160","2.5","173","192","4:32","3:35","10","19","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:07.86.4","5","0.0","00:12:42","00:12:54","10","25"
Running,2022-10-26 07:32:16,false,"York Running","9.01","565","00:46:23","166","191","3.8","173","242","5:09","3:54","32","61","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:03.23.6","10","0.0","00:46:01","00:47:30","5","43"
Cycling,2022-10-25 17:25:27,false,"York Cycling","6.02","168","00:21:39","124","151","1.4","0","0","16.7","33.9","42","36","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","21:39.33.2","1","0.0","00:21:12","00:21:39","5","33"
Cycling,2022-10-25 07:19:10,false,"York Cycling","5.95","116","00:22:23","104","132","0.4","0","0","15.9","27.3","42","43","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","22:23.44.2","1","0.0","00:21:13","00:22:23","5","33"
Running,2022-10-24 17:09:59,false,"York Running","3.02","183","00:14:26","154","169","2.8","169","184","4:47","3:55","35","44","1.24","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:04.11.7","4","0.0","00:14:15","00:15:48","11","33"
Running,2022-10-24 16:45:42,false,"York Running","5.01","287","00:22:10","140","162","3.3","171","186","4:25","3:03","13","28","1.32","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:01.63.6","6","0.0","00:22:00","00:23:47","6","25"
Indoor Cycling,2022-10-24 11:43:31,false,"Indoor Cycling","0.00","57","00:15:18","90","109","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","15:17.59.8","1","0.0","00:00:00","00:15:18","--","--"
Running,2022-10-23 07:19:08,false,"York Running","16.02","1,009","01:23:57","169","188","4.6","172","184","5:14","4:13","80","90","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:04.06.4","17","0.0","01:23:33","01:24:55","5","31"
Running,2022-10-21 12:10:55,false,"York Running","0.25","16","00:01:29.3","170","173","0.3","157","172","5:59","5:20","--","--","1.07","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:29.26.3","1","0.0","00:01:28","00:01:29.3","22","25"
Running,2022-10-21 11:39:28,false,"York Running","6.20","376","00:30:02","172","195","3.7","170","180","4:51","3:53","40","43","1.21","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","01:02.43.3","7","0.0","00:29:56","00:30:02","8","24"
Running,2022-10-20 06:45:48,false,"York Running","2.50","161","00:12:44","178","191","2.9","172","186","5:05","3:53","18","13","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","02:20.15.4","3","0.0","00:12:43","00:12:44","9","25"
Running,2022-10-20 06:31:28,false,"York Running","3.01","162","00:13:30","154","195","2.9","177","186","4:29","3:55","13","17","1.26","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:02.02","4","0.0","00:13:19","00:13:30","9","25"
Running,2022-10-19 07:35:12,false,"York Running","6.84","420","00:35:01","149","179","3.4","172","186","5:07","3:49","42","53","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","03:37.00.7","7","0.0","00:34:41","00:36:38","7","25"
Indoor Cycling,2022-10-18 11:46:37,false,"Indoor Cycling","0.00","85","00:25:02","89","110","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","25:01.73.4","1","0.0","00:00:00","00:26:43","--","--"
Running,2022-10-17 12:05:27,false,"York Running","6.14","384","00:30:02","166","190","3.7","171","180","4:53","3:44","23","26","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","--","0:00","0.0","0:00","No","00:40.03","7","0.0","00:29:57","00:30:32","10","25"
